Date,Open,High,Low,Close,Volume,Adj Close
2003-01-02,35.700001,36.400001,35.09,36.350001,1849800,279.837538
2003-01-03,36.350001,36.400001,35.810001,36.110001,1365600,277.989922
2003-01-06,36.350001,37.59,36.270002,37.310001,1519700,287.228025
2003-01-07,37.320002,37.600001,36.679999,36.979999,1309300,284.687533
2003-01-08,36.550001,37.350001,36.410001,36.69,1204000,282.454996
2003-01-09,36.800001,37.600001,36.800001,37.029999,1523500,285.072454
2003-01-10,37.04,37.610001,36.59,37.460001,2087800,288.382788
2003-01-13,37.800001,38.120002,37.029999,37.04,1498300,285.149443
2003-01-14,37.200001,37.950001,37.04,37.929999,1428400,292.001031
2003-01-15,38.100001,38.900001,37.300001,37.450001,1368000,288.305799
2003-01-16,37.650001,37.650001,36.829999,37.110001,1329200,285.688342
2003-01-17,37.120002,37.229999,36.479999,36.800001,1121700,283.301827
2003-01-21,37.34,37.34,35.950001,36.14,1369100,278.220866
2003-01-22,36.150001,36.34,35.500001,35.900001,1786000,276.37325
2003-01-23,36.150001,37.200001,36.100001,37.14,1883700,285.919285
2003-01-24,37.100001,37.14,35.510001,35.79,1913700,275.526419
2003-01-27,35.350001,35.950001,34.650001,35.09,1709100,270.137525
2003-01-28,35.200001,35.770002,35.100001,35.460001,1516600,272.98595
2003-01-29,35.050001,35.750001,34.39,35.550001,1725800,273.678803
2003-01-30,35.300001,35.49,34.200001,34.200001,1508200,264.775535
2003-01-31,33.900001,34.479999,33.650001,34.350001,2364300,265.936831
2003-02-03,34.379999,35.010001,34.29,34.650001,1356200,268.259424
2003-02-04,33.900001,34.029999,33.310001,33.64,1861300,260.440024
2003-02-05,34.100001,34.660001,33.4,33.650001,1406200,260.517449
2003-02-06,33.650001,33.650001,32.7,33.15,1589600,256.646462
2003-02-07,33.600001,33.679999,32.420002,32.910001,1616500,254.788392
2003-02-10,32.95,33.110001,32.170002,32.89,1533500,254.633543
2003-02-11,33.2,33.410001,31.75,32.05,1922800,248.130289
2003-02-12,32.05,32.4,31.379999,31.420002,1458400,243.252855
2003-02-13,31.420002,32.110001,31.05,31.84,1554700,246.50447
2003-02-14,31.779999,32.54,31.620002,32.54,1952600,251.923852
2003-02-18,33.25,33.55,32.54,33.24,1264900,257.343235
2003-02-19,33.24,33.750001,32.99,33.360001,988200,258.272281
2003-02-20,33.360001,33.5,32.75,32.860001,984900,254.401294
2003-02-21,33.2,33.55,32.35,33.2,1327600,257.03356
2003-02-24,33.210001,33.210001,32.179999,32.429999,1302900,251.07223
2003-02-25,31.920002,32.89,31.460001,32.89,1567200,254.633543
2003-02-26,32.89,32.89,32.05,32.260001,1385100,249.756109
2003-02-27,32.5,33.2,32.2,32.860001,1394000,254.401294
2003-02-28,33.110001,33.729999,33.05,33.34,1433800,258.117432
2003-03-03,33.850001,34.079999,32.810001,33.05,1341000,255.872264
2003-03-04,33.25,33.25,32.3,32.370002,1192300,250.607731
2003-03-05,32.45,33.320002,32.370002,33.170002,1390200,256.801311
2003-03-06,33.179999,33.3,32.670002,32.79,1269700,253.859346
2003-03-07,32.010001,33.5,32.010001,33.160001,1406600,256.723886
2003-03-10,32.6,32.820002,32.05,32.2,1419600,249.291586
2003-03-11,32.05,32.5,31.45,31.55,1591200,244.259302
2003-03-12,31.5,31.679999,30.25,31.660001,2165600,245.110924
2003-03-13,32.229999,33.39,31.94,33.39,1878300,258.504531
2003-03-14,33.39,33.960001,33.229999,33.750001,1717900,261.291646
2003-03-17,33.45,34.760001,33.260001,34.200001,2664800,264.775535
2003-03-18,34.250001,34.870002,34.000001,34.729999,1681500,268.878772
2003-03-19,34.900001,35.650001,34.700001,35.460001,1916000,274.530428
2003-03-20,35.14,35.950001,34.700001,35.829999,1594000,277.394944
2003-03-21,35.829999,37.200001,35.74,37.200001,2276700,288.001459
2003-03-24,36.579999,36.59,35.54,35.700001,1625600,276.388497
2003-03-25,35.710001,36.179999,35.410001,35.900001,1478400,277.936892
2003-03-26,35.750001,36.19,35.620002,35.89,1183900,277.859468
2003-03-27,35.89,36.14,35.24,35.900001,1167700,277.936892
2003-03-28,35.570002,35.979999,33.5,35.450001,1135600,274.453003
2003-03-31,34.600001,35.070002,34.450001,34.450001,1476800,266.711029
2003-04-01,34.460001,35.670002,34.460001,35.600001,1470500,275.6143
2003-04-02,36.450001,37.39,36.300001,37.04,1845100,286.762738
2003-04-03,37.300001,37.500001,36.420002,36.520002,1668400,282.736926
2003-04-04,36.979999,37.300001,36.450001,37.229999,1339400,288.233709
2003-04-07,38.429999,38.860001,37.110001,37.220002,2013600,288.156308
