Date,Open,High,Low,Close,Volume,Adj Close
2003-01-02,25.25,25.5,24.799999,25.440001,16739100,17.087351
2003-01-03,25.5,25.99,25.200001,25.940001,12525700,17.423187
2003-01-06,26.0,28.1,25.959999,27.98,22932400,18.793399
2003-01-07,27.98,28.290001,27.620001,27.84,17837500,18.699365
2003-01-08,27.25,27.25,26.51,26.77,15857300,17.980675
2003-01-09,26.85,27.389999,26.85,27.299999,11205600,18.336661
2003-01-10,26.85,27.690001,26.75,27.09,8725900,18.19561
2003-01-13,27.4,27.690001,27.209999,27.280001,9290600,18.323229
2003-01-14,27.5,27.75,27.139999,27.59,8216900,18.531447
2003-01-15,27.549999,27.639999,26.82,27.08,8147800,18.188893
2003-01-16,27.08,27.32,26.51,26.780001,7734500,17.987392
2003-01-17,26.35,26.84,26.030001,26.190001,9809500,17.591105
2003-01-21,26.52,26.6,25.27,25.42,10367800,17.073917
2003-01-22,25.42,25.42,24.6,24.700001,16066100,16.590313
2003-01-23,25.1,25.26,24.5,25.129999,8020000,16.879131
2003-01-24,24.85,25.129999,23.559999,23.809999,11709500,15.992524
2003-01-27,23.75,24.1,23.059999,23.290001,8787500,15.643255
2003-01-28,23.6,23.950001,23.24,23.51,10567800,15.791023
2003-01-29,23.200001,23.66,22.76,23.5,9989200,15.784306
2003-01-30,23.5,23.85,22.83,23.040001,9122100,15.475337
2003-01-31,22.75,23.49,22.700001,23.34,9560900,15.676838
2003-02-03,23.5,23.870001,23.34,23.58,7833000,15.838039
2003-02-04,23.59,23.59,22.75,23.049999,8152200,15.482053
2003-02-05,23.25,23.690001,22.780001,22.940001,8414600,15.408169
2003-02-06,22.67,22.73,22.200001,22.309999,8906400,14.985015
2003-02-07,22.6,22.639999,21.799999,21.98,9526700,14.763363
2003-02-10,22.0,22.299999,21.76,22.1,9080900,14.843964
2003-02-11,22.450001,22.450001,21.940001,22.0,12582400,14.776797
2003-02-12,22.0,22.219999,21.51,21.51,9567700,14.447677
2003-02-13,21.5,21.530001,20.860001,21.290001,10872500,14.29991
2003-02-14,21.299999,21.950001,21.17,21.85,8881000,14.676046
2003-02-18,22.08,22.860001,22.07,22.5,9225300,15.112633
2003-02-19,22.5,22.65,22.299999,22.5,8084700,15.112633
2003-02-20,22.6,22.799999,22.379999,22.690001,7140000,15.240251
2003-02-21,22.59,23.1,22.15,22.879999,8525100,15.367868
2003-02-24,22.889999,22.889999,22.190001,22.299999,7695700,14.978298
2003-02-25,22.0,22.549999,21.719999,22.549999,10674500,15.146216
2003-02-26,22.35,22.6,22.1,22.34,6608100,15.005166
2003-02-27,22.4,23.0,22.209999,22.66,8760600,15.220101
2003-02-28,22.639999,23.0,22.51,22.68,7684900,15.233534
2003-03-03,23.15,23.33,22.66,22.85,8083200,15.347719
2003-03-04,22.85,22.9,22.4,22.4,7706700,15.045466
2003-03-05,22.41,22.809999,22.35,22.809999,7670600,15.320851
2003-03-06,22.42,22.530001,21.959999,22.0,10613600,14.776797
2003-03-07,21.690001,22.799999,21.57,22.290001,9272100,14.971582
2003-03-10,21.870001,22.190001,21.35,21.440001,8585100,14.400661
2003-03-11,21.549999,21.799999,20.67,20.75,12601900,13.937206
2003-03-12,20.5,21.0,20.129999,20.75,16405900,13.937206
2003-03-13,21.25,21.77,21.07,21.719999,12988100,14.588728
2003-03-14,21.77,22.1,21.16,21.26,13848700,14.279759
2003-03-17,21.25,22.67,21.01,22.559999,15267800,15.152933
2003-03-18,22.879999,23.0,22.450001,22.809999,9193900,15.320851
2003-03-19,22.85,23.35,22.700001,23.33,11398700,15.670121
2003-03-20,22.780001,23.66,22.75,23.530001,10698200,15.804456
2003-03-21,23.889999,24.9,23.76,24.65,18484800,16.556729
2003-03-24,23.75,24.040001,23.450001,23.629999,10964200,15.871623
2003-03-25,23.57,24.459999,23.57,24.139999,9397300,16.214176
2003-03-26,23.9,24.35,23.879999,24.17,6461300,16.234326
2003-03-27,24.01,24.42,23.68,24.120001,7552700,16.200743
2003-03-28,24.120001,24.59,23.879999,24.450001,7736700,16.422395
2003-03-31,23.75,24.1,23.65,23.709999,9251900,15.925356
2003-04-01,24.15,24.4,23.75,24.23,9689000,16.274626
2003-04-02,24.799999,25.32,24.620001,25.110001,13884500,17.105729
2003-04-03,25.4,25.49,24.9,24.940001,10313700,16.98992
2003-04-04,25.34,25.65,25.09,25.58,10113600,17.425908
2003-04-07,26.459999,26.73,25.6,25.639999,12796300,17.466781
2003-04-08,25.85,26.1,25.450001,25.99,8949700,17.705213
2003-04-09,26.049999,26.41,25.58,25.73,10140100,17.528092
2003-04-10,25.73,25.9,25.41,25.719999,7215900,17.52128
2003-04-11,26.0,26.26,25.42,25.59,8002200,17.43272
2003-04-14,25.98,26.6,25.879999,26.540001,10041200,18.079891
2003-04-15,26.51,27.4,26.280001,26.870001,13327300,18.304697
2003-04-16,27.540001,27.700001,26.25,26.5,18636300,18.052641
2003-04-17,26.5,27.469999,26.5,27.309999,11055000,18.604438
2003-04-21,27.309999,27.74,27.16,27.450001,8337900,18.699812
2003-04-22,27.32,28.799999,27.17,28.68,13899900,19.537726
2003-04-23,28.75,29.690001,28.65,29.440001,15108200,20.055463
2003-04-24,28.73,28.85,28.309999,28.559999,12139800,19.455978
2003-04-25,28.75,28.76,27.65,27.959999,11300700,19.047239
2003-04-28,28.0,28.91,28.0,28.809999,9481100,19.626286
2003-04-29,28.690001,29.25,28.629999,29.139999,12232300,19.851092
2003-04-30,29.139999,29.65,28.809999,29.35,14738100,19.994152
2003-05-01,29.35,29.559999,28.690001,29.280001,10261200,19.946466
2003-05-02,29.15,30.049999,29.09,29.860001,10634900,20.34158
2003-05-05,30.0,30.950001,30.0,30.360001,13997200,20.682196
2003-05-06,30.25,31.049999,29.969999,30.709999,12208100,20.920626
2003-05-07,30.450001,30.99,30.16,30.82,10721500,20.995562
2003-05-08,30.450001,30.530001,29.82,29.959999,10890100,20.409702
2003-05-09,30.08,30.18,29.58,30.08,8820500,20.491451
2003-05-12,30.08,30.99,29.77,30.940001,8801900,21.07731
2003-05-13,30.940001,31.049999,30.360001,30.719999,7476000,20.927438
2003-05-14,30.73,30.969999,30.280001,30.49,7515000,20.770756
2003-05-15,30.799999,31.35,30.76,31.040001,10648700,21.145434
2003-05-16,31.040001,31.5,30.9,31.25,9273900,21.288492
2003-05-19,31.25,31.25,30.23,30.42,8306200,20.723069
2003-05-20,30.42,30.790001,30.049999,30.43,8688400,20.729882
2003-05-21,30.1,30.6,29.93,30.549999,8389500,20.811629
2003-05-22,30.4,30.690001,30.27,30.49,8651800,20.770756
2003-05-23,30.549999,31.01,30.370001,30.9,5751600,21.05006
2003-05-27,30.700001,32.139999,30.5,32.049999,11224800,21.833477
2003-05-28,32.200001,32.830002,32.07,32.549999,12017300,22.174093
2003-05-29,32.75,32.889999,32.189999,32.27,9548300,21.983348
2003-05-30,32.59,33.07,32.419998,32.860001,10683100,22.385275
2003-06-02,33.349998,34.580002,33.32,33.919998,13337100,23.107379
2003-06-03,33.919998,34.380001,33.740002,33.82,11581300,23.039257
2003-06-04,33.650002,34.830002,33.400002,34.689999,13171500,23.631928
2003-06-05,34.689999,35.290001,34.41,35.099998,10380500,23.911233
2003-06-06,35.77,36.52,35.009998,35.130001,11835400,23.931672
2003-06-09,34.599998,34.779999,33.599998,33.759998,10274000,22.998382
2003-06-10,34.0,34.34,33.869999,34.080002,10879300,23.216379
2003-06-11,34.299999,34.790001,33.91,34.540001,9252300,23.529745
2003-06-12,34.990002,35.119999,34.23,34.700001,9632500,23.638742
2003-06-13,34.849998,35.049999,34.34,34.700001,6746500,23.638742
2003-06-16,34.950001,35.950001,34.849998,35.950001,9417400,24.490281
2003-06-17,35.990002,36.200001,35.630001,36.09,9515500,24.585653
2003-06-18,35.599998,35.830002,34.799999,35.07,11336300,23.890797
2003-06-19,35.25,35.299999,34.049999,34.450001,10874200,23.468434
2003-06-20,34.849998,35.169998,34.580002,34.799999,14781400,23.706864
2003-06-23,34.549999,34.75,33.610001,33.849998,9876500,23.059693
2003-06-24,33.75,34.43,33.5,34.299999,8236100,23.366248
2003-06-25,34.299999,34.82,33.790001,33.990002,8978200,23.155068
2003-06-26,34.0,34.400002,33.5,34.400002,6316400,23.434373
2003-06-27,34.400002,34.439999,33.799999,33.900002,6674600,23.093757
2003-06-30,34.25,34.470001,33.639999,34.18,7847900,23.284501
