DATE,RATE
2003-01-01,118.699593
2003-01-02,119.603751
2003-01-03,119.828097
2003-01-04,119.810956
2003-01-05,119.810956
2003-01-06,118.893094
2003-01-07,120.122022
2003-01-08,119.61683
2003-01-09,119.336689
2003-01-10,119.428364
2003-01-11,119.444322
2003-01-12,119.444322
2003-01-13,119.016807
2003-01-14,118.055107
2003-01-15,118.104238
2003-01-16,117.963306
2003-01-17,117.79872
2003-01-18,117.726837
2003-01-19,117.726837
2003-01-20,118.100435
2003-01-21,118.47018
2003-01-22,118.186056
2003-01-23,117.982981
2003-01-24,117.900125
2003-01-25,117.892516
2003-01-26,117.892516
2003-01-27,118.228561
2003-01-28,118.589799
2003-01-29,118.260835
2003-01-30,119.228172
2003-01-31,119.749856
2003-02-01,119.664498
2003-02-02,119.664498
2003-02-03,120.419567
2003-02-04,119.872361
2003-02-05,119.729902
2003-02-06,119.895843
2003-02-07,120.186686
2003-02-08,120.106351
2003-02-09,120.106351
2003-02-10,120.974294
2003-02-11,121.264897
2003-02-12,121.222555
2003-02-13,120.793481
2003-02-14,120.391101
2003-02-15,120.338905
2003-02-16,120.338905
2003-02-17,120.193101
2003-02-18,118.866446
2003-02-19,118.785188
2003-02-20,118.441885
2003-02-21,118.761424
2003-02-22,118.756849
2003-02-23,118.756849
2003-02-24,117.85537
2003-02-25,117.171313
2003-02-26,117.226464
2003-02-27,117.280594
2003-02-28,118.115107
2003-03-01,118.074729
2003-03-02,118.074729
2003-03-03,117.836437
2003-03-04,117.801141
2003-03-05,117.361334
2003-03-06,117.349702
2003-03-07,116.698081
2003-03-08,116.763795
2003-03-09,116.763795
2003-03-10,116.693893
2003-03-11,116.983981
2003-03-12,117.220886
2003-03-13,118.420223
2003-03-14,118.456055
2003-03-15,118.429141
2003-03-16,118.429141
2003-03-17,118.171616
2003-03-18,118.956435
2003-03-19,119.94811
2003-03-20,120.274197
2003-03-21,121.28244
2003-03-22,121.205483
2003-03-23,121.205483
2003-03-24,120.681095
2003-03-25,120.051284
2003-03-26,120.121391
2003-03-27,119.83049
2003-03-28,119.985494
2003-03-29,119.940818
2003-03-30,119.940818
2003-03-31,118.238527
2003-04-01,118.176515
2003-04-02,118.97409
2003-04-03,119.495658
2003-04-04,120.008998
2003-04-05,119.98002
2003-04-06,119.98002
2003-04-07,120.440297
2003-04-08,119.908473
2003-04-09,120.188679
2003-04-10,119.577699
2003-04-11,120.411032
2003-04-12,120.385353
2003-04-13,120.385353
2003-04-14,120.474099
2003-04-15,120.236874
2003-04-16,119.928181
2003-04-17,119.427098
2003-04-18,119.628401
2003-04-19,119.465204
2003-04-20,119.465204
2003-04-21,120.33252
2003-04-22,119.786619
2003-04-23,120.328099
2003-04-24,119.898025
2003-04-25,120.55232
2003-04-26,120.64874
2003-04-27,120.64874
2003-04-28,120.336874
2003-04-29,120.122927
2003-04-30,119.161314
2003-05-01,118.69526
2003-05-02,118.885945
2003-05-03,118.799947
2003-05-04,118.799947
2003-05-05,118.751562
2003-05-06,117.84348
2003-05-07,116.616897
2003-05-08,116.534248
2003-05-09,117.332945
2003-05-10,117.38169
2003-05-11,117.38169
2003-05-12,116.769582
2003-05-13,117.124617
2003-05-14,116.376484
2003-05-15,116.141252
2003-05-16,116.032059
2003-05-17,116.034362
2003-05-18,116.034362
2003-05-19,116.895644
2003-05-20,116.876086
2003-05-21,117.2169
2003-05-22,117.136482
2003-05-23,116.907085
2003-05-24,116.880257
2003-05-25,116.880257
2003-05-26,117.05496
2003-05-27,117.018445
2003-05-28,118.557823
2003-05-29,118.506024
2003-05-30,119.136032
2003-05-31,119.008626
2003-06-01,119.008626
2003-06-02,118.611134
2003-06-03,119.078775
2003-06-04,118.642881
2003-06-05,117.902569
2003-06-06,118.207108
2003-06-07,118.334427
2003-06-08,118.334427
2003-06-09,118.054836
2003-06-10,117.86845
2003-06-11,117.740936
2003-06-12,117.648451
2003-06-13,117.58282
2003-06-14,117.66003
2003-06-15,117.66003
2003-06-16,117.66691
2003-06-17,118.151011
2003-06-18,118.224104
2003-06-19,118.604269
2003-06-20,118.372639
2003-06-21,118.347919
2003-06-22,118.347919
2003-06-23,117.763066
2003-06-24,117.923642
2003-06-25,117.656338
2003-06-26,119.138419
2003-06-27,119.730252
2003-06-28,119.722743
2003-06-29,119.722743
2003-06-30,119.95733
2003-07-01,119.556629
2003-07-02,118.563367
2003-07-03,118.326311
2003-07-04,118.098016
2003-07-05,118.145786
2003-07-06,118.145786
2003-07-07,118.119181
2003-07-08,118.264516
2003-07-09,117.885039
2003-07-10,117.688228
2003-07-11,117.734893
2003-07-12,117.70554
2003-07-13,117.70554
2003-07-14,117.621224
2003-07-15,117.498198
2003-07-16,118.304295
2003-07-17,118.758271
2003-07-18,118.690795
2003-07-19,118.808863
2003-07-20,118.808863
2003-07-21,118.486834
2003-07-22,119.181511
2003-07-23,118.922632
2003-07-24,119.057222
2003-07-25,118.847607
2003-07-26,118.831759
2003-07-27,118.831759
2003-07-28,119.425726
2003-07-29,119.766737
2003-07-30,120.201053
2003-07-31,120.3016
2003-08-01,120.218125
2003-08-02,120.293506
2003-08-03,120.293506
2003-08-04,120.467907
2003-08-05,120.12147
2003-08-06,120.237517
2003-08-07,119.314138
2003-08-08,119.052706
2003-08-09,119.046148
2003-08-10,119.046148
2003-08-11,118.547726
2003-08-12,118.49304
2003-08-13,119.079046
2003-08-14,119.293737
2003-08-15,119.17477
2003-08-16,119.166197
2003-08-17,119.166197
2003-08-18,119.54252
2003-08-19,119.047003
2003-08-20,118.241652
2003-08-21,117.733581
2003-08-22,117.684196
2003-08-23,117.741278
2003-08-24,117.741278
2003-08-25,117.407432
2003-08-26,117.404453
2003-08-27,117.680464
2003-08-28,117.37765
2003-08-29,116.654692
2003-08-30,116.574963
2003-08-31,116.574963
2003-09-01,116.480368
2003-09-02,116.4747
2003-09-03,116.133972
2003-09-04,116.7902
2003-09-05,116.848183
2003-09-06,116.838387
2003-09-07,116.838387
2003-09-08,116.672381
2003-09-09,116.523861
2003-09-10,116.991565
2003-09-11,117.077458
2003-09-12,117.24741
2003-09-13,117.22018
2003-09-14,117.22018
2003-09-15,117.507664
2003-09-16,116.485309
2003-09-17,116.232191
2003-09-18,115.297159
2003-09-19,114.432521
2003-09-20,114.568598
2003-09-21,114.568598
2003-09-22,111.958578
2003-09-23,111.793257
2003-09-24,111.523599
2003-09-25,111.866514
2003-09-26,111.927341
2003-09-27,111.978728
2003-09-28,111.978728
2003-09-29,111.329119
2003-09-30,111.079433
2003-10-01,110.796962
2003-10-02,110.760288
2003-10-03,110.811841
