Date,Open,High,Low,Close,Volume,Adj Close
2003-01-02,40.16,42.040001,39.57,41.939999,4310700,27.453054
2003-01-03,41.939999,42.0,41.400002,41.860001,2963100,27.400689
2003-01-06,41.869999,43.330002,41.720001,42.990002,4167300,28.140364
2003-01-07,42.299999,43.799999,42.02,43.220001,5213800,28.290917
2003-01-08,42.82,43.23,41.669998,41.919998,4054600,27.586769
2003-01-09,41.93,43.790001,41.93,43.619999,5082600,28.705508
2003-01-10,43.119999,44.380001,42.650002,43.419998,5080000,28.573891
2003-01-13,43.77,44.389999,43.290001,43.599998,3894100,28.692346
2003-01-14,42.970001,43.900002,42.860001,43.810001,3126900,28.830545
2003-01-15,43.82,43.82,42.759998,43.099998,4555600,28.363305
2003-01-16,43.110001,43.349998,42.279999,42.540001,4826000,27.994781
2003-01-17,42.549999,42.849998,41.400002,41.990002,3917200,27.632837
2003-01-21,42.029999,42.349998,40.48,40.48,4173200,26.639133
2003-01-22,40.48,40.630001,39.18,39.27,5396900,25.842855
2003-01-23,40.389999,40.900002,39.540001,40.68,5329500,26.77075
2003-01-24,40.689999,40.689999,38.27,38.720001,5199000,25.480911
2003-01-27,38.049999,39.0,37.459999,37.900002,5248900,24.941284
2003-01-28,38.099998,38.48,37.700001,38.299999,6123900,25.204515
2003-01-29,38.299999,38.299999,36.75,37.799999,7845400,24.875475
2003-01-30,38.130001,38.150002,36.810001,37.029999,4742100,24.368752
2003-01-31,36.779999,37.959999,36.779999,37.900002,6145700,24.941284
2003-02-03,37.91,38.799999,37.580002,38.549999,4705800,25.369036
2003-02-04,38.549999,38.549999,36.889999,37.439999,5170200,24.638565
2003-02-05,37.68,38.5,37.0,37.02,5011000,24.362172
2003-02-06,36.650002,37.110001,36.189999,36.419998,3983700,23.967322
2003-02-07,36.43,37.450001,35.389999,35.75,5565400,23.526408
2003-02-10,35.91,36.150002,35.060001,36.049999,4483100,23.723832
2003-02-11,36.049999,36.52,35.110001,35.419998,4388300,23.30924
2003-02-12,35.43,35.919998,34.52,34.700001,3860200,22.835423
2003-02-13,34.75,35.290001,34.32,34.91,6389700,22.97362
2003-02-14,34.919998,35.779999,34.75,35.779999,4940400,23.54615
2003-02-18,35.98,36.93,35.919998,36.490002,4919700,24.01339
2003-02-19,36.400002,36.93,36.060001,36.93,4522500,24.302945
2003-02-20,36.939999,37.139999,36.389999,36.599998,3450800,24.085777
2003-02-21,36.610001,37.209999,35.900002,37.02,4771800,24.362172
2003-02-24,37.029999,37.029999,35.689999,35.77,5080800,23.53957
2003-02-25,35.779999,36.310001,34.950001,36.169998,6053000,23.802801
2003-02-26,36.169998,36.240002,35.099998,35.419998,4998200,23.30924
2003-02-27,35.650002,36.779999,35.43,36.52,4652200,24.033131
2003-02-28,36.619999,37.5,36.619999,36.849998,5461700,24.250297
2003-03-03,37.25,37.830002,36.630001,36.950001,5551300,24.316106
2003-03-04,36.709999,36.790001,36.02,36.380001,5335700,23.941
2003-03-05,36.060001,37.130001,36.049999,37.130001,6897600,24.434561
2003-03-06,36.5,36.91,35.93,36.139999,5206000,23.78306
2003-03-07,36.150002,37.049999,35.349998,36.970001,4852700,24.329268
2003-03-10,36.330002,36.490002,35.290001,35.380001,4578700,23.282919
2003-03-11,35.610001,36.040001,34.200001,34.32,5609200,22.585352
2003-03-12,34.32,34.34,32.459999,33.57,11926500,22.091791
2003-03-13,33.57,36.18,33.57,36.080002,6917200,23.743576
2003-03-14,36.139999,36.799999,35.650002,35.880001,6259000,23.61196
2003-03-17,35.880001,38.5,35.360001,38.400002,9099700,25.270325
2003-03-18,38.400002,39.189999,37.900002,39.139999,6723800,25.757304
2003-03-19,39.150002,39.790001,38.75,39.48,7700800,25.981052
2003-03-20,39.150002,40.349998,38.610001,40.049999,8486800,26.356158
2003-03-21,40.049999,41.73,40.049999,41.509998,7867900,27.316956
2003-03-24,40.400002,40.450001,39.75,40.220001,6425700,26.468033
2003-03-25,40.23,41.240002,39.900002,40.630001,5351000,26.737846
2003-03-26,40.73,41.169998,40.16,40.509998,4189300,26.658874
2003-03-27,40.509998,41.0,39.779999,40.439999,4429500,26.612809
2003-03-28,39.970001,40.419998,39.799999,40.02,4191400,26.336416
2003-03-31,39.450001,39.459999,38.349998,38.349998,5461300,25.237419
2003-04-01,38.68,40.18,38.400002,39.860001,5176200,26.231123
2003-04-02,40.150002,42.099998,40.150002,41.799999,6775200,27.5078
2003-04-03,41.84,42.599998,41.5,41.779999,5794300,27.494638
2003-04-04,42.099998,42.419998,41.779999,42.060001,3639500,27.678903
2003-04-07,42.189999,43.700001,42.119999,42.189999,5967700,27.764451
2003-04-08,42.189999,42.5,41.82,42.419998,4453000,27.91581
2003-04-09,42.419998,43.040001,41.419998,41.43,5590500,27.412943
2003-04-10,41.439999,42.0,41.23,41.84,4473500,27.684227
2003-04-11,42.18,42.57,41.189999,41.540001,4718900,27.485727
2003-04-14,41.490002,42.880001,40.560001,42.799999,4561600,28.319428
2003-04-15,42.799999,44.400002,42.560001,44.349998,6801700,29.345015
2003-04-16,44.470001,45.130001,43.830002,44.189999,8291700,29.239148
2003-04-17,44.189999,45.189999,44.119999,45.150002,5688900,29.874352
2003-04-21,45.150002,45.299999,44.52,44.98,3623500,29.761867
2003-04-22,44.98,46.560001,44.25,46.400002,6274300,30.701438
2003-04-23,46.419998,48.029999,46.200001,47.790001,7935400,31.621157
2003-04-24,47.790001,47.790001,46.220001,46.66,5819200,30.873471
2003-04-25,46.66,46.66,44.77,45.009998,6411900,29.781716
2003-04-28,45.0,45.799999,44.759998,45.169998,6505100,29.887583
2003-04-29,45.639999,46.360001,43.669998,44.400002,9234100,29.3781
2003-04-30,44.48,45.029999,44.080002,44.75,10146100,29.609683
2003-05-01,44.75,44.900002,43.57,44.740002,6177900,29.603068
2003-05-02,44.450001,45.959999,44.220001,45.599998,6273300,30.172101
2003-05-05,45.599998,45.650002,44.779999,44.810001,5039600,29.649384
2003-05-06,44.810001,46.099998,44.75,45.380001,4630100,30.026535
