Date,Hong Kong 8:30,Hong Kong 14:00,London 08:00,New York 9:30,New York 15:00
2003-01-02,602.0,602.0,602.0,612.0,608.0
2003-01-03,608.0,608.0,608.0,605.0,605.0
2003-01-06,605.0,605.0,608.0,609.0,613.0
2003-01-07,611.0,610.0,609.0,610.0,610.0
2003-01-08,607.0,607.0,607.0,611.0,617.0
2003-01-09,618.0,618.0,620.0,623.0,623.0
2003-01-10,624.0,625.0,627.0,623.0,625.0
2003-01-13,625.0,625.0,625.0,622.0,620.0
2003-01-14,620.0,620.0,619.0,624.0,622.0
2003-01-15,621.0,623.0,621.0,619.0,619.0
2003-01-16,619.0,619.0,619.0,622.0,622.0
2003-01-17,622.0,622.0,625.0,629.0,627.0
2003-01-20,627.0,627.0,629.0,635.0,635.0
2003-01-21,635.0,635.0,634.0,633.0,635.0
2003-01-22,635.0,641.0,642.0,647.0,649.0
2003-01-23,649.0,646.0,647.0,654.0,652.0
2003-01-24,652.0,652.0,655.0,646.0,649.0
2003-01-27,649.0,649.0,648.0,648.0,648.0
2003-01-28,647.0,644.0,643.0,646.0,646.0
2003-01-29,646.0,646.0,648.0,656.0,662.0
2003-01-30,662.0,674.0,674.0,671.0,668.0
2003-01-31,,,673.0,670.0,678.0
2003-02-03,,,685.0,702.0,702.0
2003-02-04,707.0,707.0,708.0,703.0,693.0
2003-02-05,694.0,692.0,695.0,690.0,688.0
2003-02-06,687.0,680.0,679.0,681.0,678.0
2003-02-07,680.0,689.0,695.0,690.0,688.0
2003-02-10,687.0,688.0,690.0,685.0,679.0
2003-02-11,680.0,680.0,682.0,680.0,680.0
2003-02-12,680.0,690.0,690.0,695.0,692.0
2003-02-13,690.0,687.0,690.0,691.0,691.0
2003-02-14,696.0,700.0,701.0,698.0,694.0
2003-02-17,694.0,694.0,690.0,691.0,691.0
2003-02-18,691.0,686.0,687.0,678.0,671.0
2003-02-19,668.0,671.0,670.0,675.0,675.0
2003-02-20,678.0,678.0,678.0,669.0,669.0
2003-02-21,669.0,665.0,666.0,669.0,669.0
2003-02-24,669.0,669.0,670.0,674.0,676.0
2003-02-25,676.0,679.0,681.0,683.0,681.0
2003-02-26,681.0,677.0,677.0,679.0,684.0
2003-02-27,684.0,682.0,684.0,685.0,681.0
2003-02-28,676.0,676.0,679.0,684.0,684.0
2003-03-03,688.0,686.0,685.0,684.0,684.0
2003-03-04,686.0,689.0,692.0,691.0,691.0
2003-03-05,699.0,705.0,702.0,697.0,700.0
2003-03-06,700.0,704.0,700.0,696.0,696.0
2003-03-07,696.0,695.0,695.0,696.0,692.0
2003-03-10,692.0,692.0,697.0,706.0,710.0
2003-03-11,710.0,708.0,707.0,704.0,704.0
2003-03-12,701.0,700.0,703.0,701.0,701.0
2003-03-13,700.0,702.0,705.0,695.0,691.0
